"Status","Seniority","Home","Time","Age","Marital","Records","Job","Expenses","Income","Assets","Debt","Amount","Price","Finrat","Savings","seniorityR","timeR","ageR","expensesR","incomeR","assetsR","debtR","amountR","priceR","finratR","savingsR"
"good",6,"owner",48,34,"married","no_rec","freelance",60,125,4000,0,1150,1577,72.9232720355105,2.71304347826087,"sen (3,8]","time (36,48]","age (30,40]","exp (50,60]","inc (110,140]","asset (3e+03,5e+03]","debt (-1,0]","am (1.1e+03,1.4e+03]","priz (1.5e+03,1.8e+03]","finr (70,80]","sav (2,4]"
"good",7,"owner",36,29,"married","no_rec","fixed",60,121,3000,0,650,915,71.0382513661202,3.37846153846154,"sen (3,8]","time (24,36]","age (25,30]","exp (50,60]","inc (110,140]","asset (0,3e+03]","debt (-1,0]","am (600,900]","priz (0,1e+03]","finr (70,80]","sav (2,4]"
"good",8,"owner",60,30,"married","no_rec","fixed",75,199,5000,2500,1500,1650,90.9090909090909,3.96,"sen (3,8]","time (48,99]","age (25,30]","exp (60,80]","inc (190,1e+04]","asset (3e+03,5e+03]","debt (1.5e+03,2.5e+03]","am (1.4e+03,1e+05]","priz (1.5e+03,1.8e+03]","finr (90,100]","sav (2,4]"
"good",19,"priv",36,37,"married","no_rec","fixed",75,170,3500,260,600,940,63.8297872340426,5.544,"sen (14,99]","time (24,36]","age (30,40]","exp (60,80]","inc (140,190]","asset (3e+03,5e+03]","debt (0,500]","am (0,600]","priz (0,1e+03]","finr (50,70]","sav (4,6]"
"bad",0,"other",18,21,"single","yes_rec","partime",35,50,0,0,400,500,80,0.675,"sen (-1,1]","time (12,24]","age (0,25]","exp (0,40]","inc (0,80]","asset (-1,0]","debt (-1,0]","am (0,600]","priz (0,1e+03]","finr (70,80]","sav (0,2]"
"good",0,"owner",24,68,"married","no_rec","fixed",75,131,4162,0,900,1186,75.885328836425,1.49333333333333,"sen (-1,1]","time (12,24]","age (50,99]","exp (60,80]","inc (110,140]","asset (3e+03,5e+03]","debt (-1,0]","am (600,900]","priz (1e+03,1.3e+03]","finr (70,80]","sav (0,2]"
"good",15,"priv",24,52,"single","no_rec","freelance",35,330,16500,0,1500,2201,68.1508405270332,4.72,"sen (14,99]","time (12,24]","age (50,99]","exp (0,40]","inc (190,1e+04]","asset (8e+03,1e+06]","debt (-1,0]","am (1.4e+03,1e+05]","priz (1.8e+03,1e+05]","finr (50,70]","sav (4,6]"
"good",33,"rent",24,68,"married","no_rec","freelance",65,200,5000,2000,600,1350,44.4444444444444,4.6,"sen (14,99]","time (12,24]","age (50,99]","exp (60,80]","inc (190,1e+04]","asset (3e+03,5e+03]","debt (1.5e+03,2.5e+03]","am (0,600]","priz (1.3e+03,1.5e+03]","finr (0,50]","sav (4,6]"
"bad",0,"ignore",48,36,"married","no_rec","partime",45,130,750,0,1100,1511,72.7994705493051,3.70909090909091,"sen (-1,1]","time (36,48]","age (30,40]","exp (40,50]","inc (110,140]","asset (0,3e+03]","debt (-1,0]","am (900,1.1e+03]","priz (1.5e+03,1.8e+03]","finr (70,80]","sav (2,4]"
"good",1,"parents",60,31,"single","no_rec","fixed",35,137,0,0,1250,1253,99.7605746209098,4.896,"sen (-1,1]","time (48,99]","age (30,40]","exp (0,40]","inc (110,140]","asset (-1,0]","debt (-1,0]","am (1.1e+03,1.4e+03]","priz (1e+03,1.3e+03]","finr (90,100]","sav (4,6]"
"bad",2,"rent",60,25,"single","no_rec","fixed",46,107,0,0,1500,2189,68.5244403837369,2.44,"sen (1,3]","time (48,99]","age (0,25]","exp (40,50]","inc (80,110]","asset (-1,0]","debt (-1,0]","am (1.4e+03,1e+05]","priz (1.8e+03,1e+05]","finr (50,70]","sav (2,4]"
"good",5,"owner",60,22,"single","no_rec","fixed",45,324,10000,0,1100,1159,94.909404659189,15.2181818181818,"sen (3,8]","time (48,99]","age (0,25]","exp (40,50]","inc (190,1e+04]","asset (8e+03,1e+06]","debt (-1,0]","am (900,1.1e+03]","priz (1e+03,1.3e+03]","finr (90,100]","sav (6,99]"
"bad",1,"owner",60,45,"married","no_rec","partime",105,112,2000,500,600,1332,45.045045045045,0.2,"sen (-1,1]","time (48,99]","age (40,50]","exp (80,1e+04]","inc (110,140]","asset (0,3e+03]","debt (0,500]","am (0,600]","priz (1.3e+03,1.5e+03]","finr (0,50]","sav (0,2]"
"good",27,"rent",60,41,"married","no_rec","fixed",74,140,0,0,950,1497,63.4602538410154,4.16842105263158,"sen (14,99]","time (48,99]","age (40,50]","exp (60,80]","inc (110,140]","asset (-1,0]","debt (-1,0]","am (900,1.1e+03]","priz (1.3e+03,1.5e+03]","finr (50,70]","sav (4,6]"
"good",26,"owner",60,51,"married","no_rec","fixed",45,143,3500,0,1350,1357,99.4841562269713,4.35555555555556,"sen (14,99]","time (48,99]","age (50,99]","exp (40,50]","inc (140,190]","asset (3e+03,5e+03]","debt (-1,0]","am (1.1e+03,1.4e+03]","priz (1.3e+03,1.5e+03]","finr (90,100]","sav (4,6]"
"good",12,"owner",36,54,"married","no_rec","fixed",60,130,4000,0,700,2100,33.3333333333333,3.6,"sen (8,14]","time (24,36]","age (50,99]","exp (50,60]","inc (110,140]","asset (3e+03,5e+03]","debt (-1,0]","am (600,900]","priz (1.8e+03,1e+05]","finr (0,50]","sav (2,4]"
"good",19,"owner",60,43,"single","no_rec","fixed",75,180,4000,0,1000,1070,93.4579439252336,6.3,"sen (14,99]","time (48,99]","age (40,50]","exp (60,80]","inc (140,190]","asset (3e+03,5e+03]","debt (-1,0]","am (900,1.1e+03]","priz (1e+03,1.3e+03]","finr (90,100]","sav (6,99]"
"good",15,"owner",36,43,"married","no_rec","fixed",75,251,4000,0,1800,2557,70.3949941337505,3.52,"sen (14,99]","time (24,36]","age (40,50]","exp (60,80]","inc (190,1e+04]","asset (3e+03,5e+03]","debt (-1,0]","am (1.4e+03,1e+05]","priz (1.8e+03,1e+05]","finr (70,80]","sav (2,4]"
"bad",3,"owner",24,23,"married","no_rec","fixed",75,85,5000,0,600,1600,37.5,0.4,"sen (1,3]","time (12,24]","age (0,25]","exp (60,80]","inc (80,110]","asset (3e+03,5e+03]","debt (-1,0]","am (0,600]","priz (1.5e+03,1.8e+03]","finr (0,50]","sav (0,2]"
"good",4,"owner",48,29,"married","no_rec","fixed",45,150,5000,3300,1100,1312,83.8414634146341,3.14181818181818,"sen (3,8]","time (36,48]","age (25,30]","exp (40,50]","inc (140,190]","asset (3e+03,5e+03]","debt (2.5e+03,1e+06]","am (900,1.1e+03]","priz (1.3e+03,1.5e+03]","finr (80,90]","sav (2,4]"
"bad",0,"owner",36,23,"single","no_rec","partime",45,122,2500,0,400,400,100,6.93,"sen (-1,1]","time (24,36]","age (0,25]","exp (40,50]","inc (110,140]","asset (0,3e+03]","debt (-1,0]","am (0,600]","priz (0,1e+03]","finr (90,100]","sav (6,99]"
"good",14,"priv",24,51,"married","no_rec","partime",75,198,1000,0,450,650,69.2307692307692,6.56,"sen (8,14]","time (12,24]","age (50,99]","exp (60,80]","inc (190,1e+04]","asset (0,3e+03]","debt (-1,0]","am (0,600]","priz (0,1e+03]","finr (50,70]","sav (6,99]"
"good",10,"owner",36,39,"married","no_rec","freelance",75,150,3000,0,1000,1394,71.7360114777618,2.7,"sen (8,14]","time (24,36]","age (30,40]","exp (60,80]","inc (140,190]","asset (0,3e+03]","debt (-1,0]","am (900,1.1e+03]","priz (1.3e+03,1.5e+03]","finr (70,80]","sav (2,4]"
"good",12,"parents",36,35,"single","no_rec","fixed",35,170,0,0,1100,1542,71.3359273670558,4.41818181818182,"sen (8,14]","time (24,36]","age (30,40]","exp (0,40]","inc (140,190]","asset (-1,0]","debt (-1,0]","am (900,1.1e+03]","priz (1.5e+03,1.8e+03]","finr (70,80]","sav (4,6]"
"good",32,"owner",24,62,"married","no_rec","freelance",45,119,8500,0,700,1200,58.3333333333333,2.53714285714286,"sen (14,99]","time (12,24]","age (50,99]","exp (40,50]","inc (110,140]","asset (8e+03,1e+06]","debt (-1,0]","am (600,900]","priz (1e+03,1.3e+03]","finr (50,70]","sav (2,4]"
"good",10,"owner",24,56,"married","no_rec","freelance",45,208,13500,0,500,1560,32.0512820512821,7.824,"sen (8,14]","time (12,24]","age (50,99]","exp (40,50]","inc (190,1e+04]","asset (8e+03,1e+06]","debt (-1,0]","am (0,600]","priz (1.5e+03,1.8e+03]","finr (0,50]","sav (6,99]"
"good",7,"owner",48,32,"married","no_rec","fixed",75,115,3000,0,800,1200,66.6666666666667,2.4,"sen (3,8]","time (36,48]","age (30,40]","exp (60,80]","inc (110,140]","asset (0,3e+03]","debt (-1,0]","am (600,900]","priz (1e+03,1.3e+03]","finr (50,70]","sav (2,4]"
"bad",1,"rent",54,36,"married","no_rec","fixed",70,99,0,0,950,950,100,1.64842105263158,"sen (-1,1]","time (48,99]","age (30,40]","exp (60,80]","inc (80,110]","asset (-1,0]","debt (-1,0]","am (900,1.1e+03]","priz (0,1e+03]","finr (90,100]","sav (0,2]"
"good",30,"owner",60,64,"married","no_rec","fixed",45,120,14000,0,1125,1300,86.5384615384615,4,"sen (14,99]","time (48,99]","age (50,99]","exp (40,50]","inc (110,140]","asset (8e+03,1e+06]","debt (-1,0]","am (1.1e+03,1.4e+03]","priz (1e+03,1.3e+03]","finr (80,90]","sav (2,4]"
"bad",5,"rent",48,31,"single","no_rec","fixed",44,90,0,0,1300,1700,76.4705882352941,1.69846153846154,"sen (3,8]","time (36,48]","age (30,40]","exp (40,50]","inc (80,110]","asset (-1,0]","debt (-1,0]","am (1.1e+03,1.4e+03]","priz (1.5e+03,1.8e+03]","finr (70,80]","sav (0,2]"
"good",24,"owner",60,42,"married","no_rec","fixed",75,137,4000,0,900,1167,77.120822622108,4.13333333333333,"sen (14,99]","time (48,99]","age (40,50]","exp (60,80]","inc (110,140]","asset (3e+03,5e+03]","debt (-1,0]","am (600,900]","priz (1e+03,1.3e+03]","finr (70,80]","sav (4,6]"
"good",0,"owner",60,61,"widow","no_rec","others",35,230,50000,0,950,1150,82.6086956521739,12.3157894736842,"sen (-1,1]","time (48,99]","age (50,99]","exp (0,40]","inc (190,1e+04]","asset (8e+03,1e+06]","debt (-1,0]","am (900,1.1e+03]","priz (1e+03,1.3e+03]","finr (80,90]","sav (6,99]"
"bad",0,"owner",60,32,"married","yes_rec","fixed",45,142,7000,3000,1250,1566,79.8212005108557,3.216,"sen (-1,1]","time (48,99]","age (30,40]","exp (40,50]","inc (140,190]","asset (5e+03,8e+03]","debt (2.5e+03,1e+06]","am (1.1e+03,1.4e+03]","priz (1.5e+03,1.8e+03]","finr (70,80]","sav (2,4]"
"bad",2,"owner",60,43,"married","no_rec","partime",75,71,3000,0,1500,1552,96.6494845360825,-0.16,"sen (1,3]","time (48,99]","age (40,50]","exp (60,80]","inc (0,80]","asset (0,3e+03]","debt (-1,0]","am (1.4e+03,1e+05]","priz (1.5e+03,1.8e+03]","finr (90,100]","sav (-99,0]"
"good",1,"parents",60,26,"single","no_rec","partime",35,120,0,0,1150,1300,88.4615384615385,4.43478260869565,"sen (-1,1]","time (48,99]","age (25,30]","exp (0,40]","inc (110,140]","asset (-1,0]","debt (-1,0]","am (1.1e+03,1.4e+03]","priz (1e+03,1.3e+03]","finr (80,90]","sav (4,6]"
"good",1,"owner",60,49,"widow","no_rec","freelance",35,233,15900,4500,2100,2104,99.8098859315589,4.37142857142857,"sen (-1,1]","time (48,99]","age (40,50]","exp (0,40]","inc (190,1e+04]","asset (8e+03,1e+06]","debt (2.5e+03,1e+06]","am (1.4e+03,1e+05]","priz (1.8e+03,1e+05]","finr (90,100]","sav (4,6]"
"good",15,"owner",36,47,"married","no_rec","fixed",75,289,3500,0,1500,2154,69.6378830083565,5.136,"sen (14,99]","time (24,36]","age (40,50]","exp (60,80]","inc (190,1e+04]","asset (3e+03,5e+03]","debt (-1,0]","am (1.4e+03,1e+05]","priz (1.8e+03,1e+05]","finr (50,70]","sav (4,6]"
"bad",2,"rent",36,27,"separated","no_rec","fixed",48,128,0,0,450,545,82.5688073394495,6.4,"sen (1,3]","time (24,36]","age (25,30]","exp (40,50]","inc (110,140]","asset (-1,0]","debt (-1,0]","am (0,600]","priz (0,1e+03]","finr (80,90]","sav (6,99]"
"good",25,"owner",36,52,"married","no_rec","freelance",60,150,15000,0,750,1778,42.1822272215973,4.32,"sen (14,99]","time (24,36]","age (50,99]","exp (50,60]","inc (140,190]","asset (8e+03,1e+06]","debt (-1,0]","am (600,900]","priz (1.5e+03,1.8e+03]","finr (0,50]","sav (4,6]"
"good",8,"owner",60,28,"married","no_rec","fixed",60,145,4000,1000,1600,1718,93.1315483119907,2.8125,"sen (3,8]","time (48,99]","age (25,30]","exp (50,60]","inc (140,190]","asset (3e+03,5e+03]","debt (500,1.5e+03]","am (1.4e+03,1e+05]","priz (1.5e+03,1.8e+03]","finr (90,100]","sav (2,4]"
"good",5,"owner",60,31,"married","no_rec","fixed",75,90,4000,0,900,1500,60,1,"sen (3,8]","time (48,99]","age (30,40]","exp (60,80]","inc (80,110]","asset (3e+03,5e+03]","debt (-1,0]","am (600,900]","priz (1.3e+03,1.5e+03]","finr (50,70]","sav (0,2]"
"good",0,"rent",60,32,"married","no_rec","fixed",105,301,0,0,1200,1274,94.1915227629513,9.8,"sen (-1,1]","time (48,99]","age (30,40]","exp (80,1e+04]","inc (190,1e+04]","asset (-1,0]","debt (-1,0]","am (1.1e+03,1.4e+03]","priz (1e+03,1.3e+03]","finr (90,100]","sav (6,99]"
"good",5,"owner",36,51,"married","no_rec","freelance",75,200,2100,1200,900,1015,88.6699507389163,4.52,"sen (3,8]","time (24,36]","age (50,99]","exp (60,80]","inc (190,1e+04]","asset (0,3e+03]","debt (500,1.5e+03]","am (600,900]","priz (1e+03,1.3e+03]","finr (80,90]","sav (4,6]"
"good",3,"parents",12,37,"married","no_rec","freelance",60,150,500,0,500,1701,29.3944738389183,2.16,"sen (1,3]","time (0,12]","age (30,40]","exp (50,60]","inc (140,190]","asset (0,3e+03]","debt (-1,0]","am (0,600]","priz (1.5e+03,1.8e+03]","finr (0,50]","sav (2,4]"
"bad",1,"rent",48,29,"married","yes_rec","freelance",85,100,0,0,1000,1345,74.3494423791822,0.72,"sen (-1,1]","time (36,48]","age (25,30]","exp (80,1e+04]","inc (80,110]","asset (-1,0]","debt (-1,0]","am (900,1.1e+03]","priz (1.3e+03,1.5e+03]","finr (70,80]","sav (0,2]"
"good",7,"parents",60,26,"single","no_rec","fixed",35,100,0,0,1000,1238,80.7754442649435,3.9,"sen (3,8]","time (48,99]","age (25,30]","exp (0,40]","inc (80,110]","asset (-1,0]","debt (-1,0]","am (900,1.1e+03]","priz (1e+03,1.3e+03]","finr (80,90]","sav (2,4]"
"good",4,"parents",30,27,"single","no_rec","fixed",45,100,5000,0,500,1048,47.7099236641221,3.3,"sen (3,8]","time (24,36]","age (25,30]","exp (40,50]","inc (80,110]","asset (3e+03,5e+03]","debt (-1,0]","am (0,600]","priz (1e+03,1.3e+03]","finr (0,50]","sav (2,4]"
"good",6,"owner",24,63,"married","no_rec","fixed",60,155,4000,0,600,1048,57.2519083969466,3.8,"sen (3,8]","time (12,24]","age (50,99]","exp (50,60]","inc (140,190]","asset (3e+03,5e+03]","debt (-1,0]","am (0,600]","priz (1e+03,1.3e+03]","finr (50,70]","sav (2,4]"
"good",14,"owner",24,55,"married","no_rec","fixed",90,715,5000,0,800,1324,60.4229607250755,18.75,"sen (8,14]","time (12,24]","age (50,99]","exp (80,1e+04]","inc (190,1e+04]","asset (3e+03,5e+03]","debt (-1,0]","am (600,900]","priz (1.3e+03,1.5e+03]","finr (50,70]","sav (6,99]"
"good",3,"rent",60,28,"married","no_rec","fixed",70,245,0,0,1830,2201,83.1440254429805,5.73770491803279,"sen (1,3]","time (48,99]","age (25,30]","exp (60,80]","inc (190,1e+04]","asset (-1,0]","debt (-1,0]","am (1.4e+03,1e+05]","priz (1.8e+03,1e+05]","finr (80,90]","sav (4,6]"
"good",8,"rent",48,31,"married","no_rec","fixed",90,150,0,0,1100,1430,76.9230769230769,2.61818181818182,"sen (3,8]","time (36,48]","age (30,40]","exp (80,1e+04]","inc (140,190]","asset (-1,0]","debt (-1,0]","am (900,1.1e+03]","priz (1.3e+03,1.5e+03]","finr (70,80]","sav (2,4]"
"bad",4,"parents",42,27,"single","no_rec","fixed",35,70,0,0,600,926,64.7948164146868,2.45,"sen (3,8]","time (36,48]","age (25,30]","exp (0,40]","inc (0,80]","asset (-1,0]","debt (-1,0]","am (0,600]","priz (0,1e+03]","finr (50,70]","sav (2,4]"
"good",22,"owner",24,40,"married","no_rec","fixed",75,190,3000,0,1000,1500,66.6666666666667,2.76,"sen (14,99]","time (12,24]","age (30,40]","exp (60,80]","inc (140,190]","asset (0,3e+03]","debt (-1,0]","am (900,1.1e+03]","priz (1.3e+03,1.5e+03]","finr (50,70]","sav (2,4]"
"good",2,"owner",36,35,"married","no_rec","fixed",75,152,3000,0,1000,1542,64.8508430609598,2.772,"sen (1,3]","time (24,36]","age (30,40]","exp (60,80]","inc (140,190]","asset (0,3e+03]","debt (-1,0]","am (900,1.1e+03]","priz (1.5e+03,1.8e+03]","finr (50,70]","sav (2,4]"
"good",15,"priv",60,43,"married","no_rec","fixed",75,126,3000,0,1350,1360,99.2647058823529,2.26666666666667,"sen (14,99]","time (48,99]","age (40,50]","exp (60,80]","inc (110,140]","asset (0,3e+03]","debt (-1,0]","am (1.1e+03,1.4e+03]","priz (1.3e+03,1.5e+03]","finr (90,100]","sav (2,4]"
"good",10,"owner",18,34,"married","no_rec","freelance",75,181,4000,0,600,1000,60,3.18,"sen (8,14]","time (12,24]","age (30,40]","exp (60,80]","inc (140,190]","asset (3e+03,5e+03]","debt (-1,0]","am (0,600]","priz (0,1e+03]","finr (50,70]","sav (2,4]"
"good",4,"owner",60,37,"married","no_rec","fixed",60,185,3000,0,1200,1564,76.7263427109974,6.25,"sen (3,8]","time (48,99]","age (30,40]","exp (50,60]","inc (140,190]","asset (0,3e+03]","debt (-1,0]","am (1.1e+03,1.4e+03]","priz (1.5e+03,1.8e+03]","finr (70,80]","sav (6,99]"
"good",9,"owner",60,53,"married","no_rec","fixed",45,170,2500,0,850,1205,70.5394190871369,8.82352941176471,"sen (8,14]","time (48,99]","age (50,99]","exp (40,50]","inc (140,190]","asset (0,3e+03]","debt (-1,0]","am (600,900]","priz (1e+03,1.3e+03]","finr (70,80]","sav (6,99]"
"good",22,"rent",60,46,"married","no_rec","fixed",93,176,7500,0,2000,2200,90.9090909090909,2.49,"sen (14,99]","time (48,99]","age (40,50]","exp (80,1e+04]","inc (140,190]","asset (5e+03,8e+03]","debt (-1,0]","am (1.4e+03,1e+05]","priz (1.8e+03,1e+05]","finr (90,100]","sav (2,4]"
"good",18,"parents",36,36,"married","no_rec","freelance",60,238,0,0,900,2214,40.650406504065,7.12,"sen (14,99]","time (24,36]","age (30,40]","exp (50,60]","inc (190,1e+04]","asset (-1,0]","debt (-1,0]","am (600,900]","priz (1.8e+03,1e+05]","finr (0,50]","sav (6,99]"
"good",1,"priv",60,46,"married","no_rec","fixed",60,115,5500,800,1000,1137,87.9507475813544,2.82,"sen (-1,1]","time (48,99]","age (40,50]","exp (50,60]","inc (110,140]","asset (5e+03,8e+03]","debt (500,1.5e+03]","am (900,1.1e+03]","priz (1e+03,1.3e+03]","finr (80,90]","sav (2,4]"
"good",14,"owner",48,43,"married","no_rec","fixed",45,200,9000,0,600,1025,58.5365853658537,12.4,"sen (8,14]","time (36,48]","age (40,50]","exp (40,50]","inc (190,1e+04]","asset (8e+03,1e+06]","debt (-1,0]","am (0,600]","priz (1e+03,1.3e+03]","finr (50,70]","sav (6,99]"
"good",8,"owner",36,31,"married","yes_rec","freelance",75,411,9000,4000,800,1593,50.2197112366604,13.32,"sen (3,8]","time (24,36]","age (30,40]","exp (60,80]","inc (190,1e+04]","asset (8e+03,1e+06]","debt (2.5e+03,1e+06]","am (600,900]","priz (1.5e+03,1.8e+03]","finr (50,70]","sav (6,99]"
"good",5,"owner",24,43,"married","no_rec","fixed",75,93,3000,0,700,1735,40.3458213256484,0.617142857142857,"sen (3,8]","time (12,24]","age (40,50]","exp (60,80]","inc (80,110]","asset (0,3e+03]","debt (-1,0]","am (600,900]","priz (1.5e+03,1.8e+03]","finr (0,50]","sav (0,2]"
"good",19,"rent",60,38,"married","no_rec","fixed",86,108,0,0,1000,1132,88.339222614841,1.32,"sen (14,99]","time (48,99]","age (30,40]","exp (80,1e+04]","inc (80,110]","asset (-1,0]","debt (-1,0]","am (900,1.1e+03]","priz (1e+03,1.3e+03]","finr (80,90]","sav (0,2]"
"good",14,"owner",12,37,"married","no_rec","freelance",90,500,4000,0,500,1338,37.3692077727952,9.84,"sen (8,14]","time (0,12]","age (30,40]","exp (80,1e+04]","inc (190,1e+04]","asset (3e+03,5e+03]","debt (-1,0]","am (0,600]","priz (1.3e+03,1.5e+03]","finr (0,50]","sav (6,99]"
"good",0,"other",36,46,"married","yes_rec","others",45,45,0,0,900,1100,81.8181818181818,0,"sen (-1,1]","time (24,36]","age (40,50]","exp (40,50]","inc (0,80]","asset (-1,0]","debt (-1,0]","am (600,900]","priz (1e+03,1.3e+03]","finr (80,90]","sav (-99,0]"
"good",9,"rent",36,55,"married","no_rec","fixed",70,250,30000,0,1750,2276,76.8892794376098,3.70285714285714,"sen (8,14]","time (24,36]","age (50,99]","exp (60,80]","inc (190,1e+04]","asset (8e+03,1e+06]","debt (-1,0]","am (1.4e+03,1e+05]","priz (1.8e+03,1e+05]","finr (70,80]","sav (2,4]"
"good",29,"owner",48,56,"married","no_rec","fixed",45,100,3000,0,900,1360,66.1764705882353,2.93333333333333,"sen (14,99]","time (36,48]","age (50,99]","exp (40,50]","inc (80,110]","asset (0,3e+03]","debt (-1,0]","am (600,900]","priz (1.3e+03,1.5e+03]","finr (50,70]","sav (2,4]"
"good",10,"owner",36,55,"married","no_rec","fixed",60,70,4000,0,1000,1436,69.6378830083565,0.36,"sen (8,14]","time (24,36]","age (50,99]","exp (50,60]","inc (0,80]","asset (3e+03,5e+03]","debt (-1,0]","am (900,1.1e+03]","priz (1.3e+03,1.5e+03]","finr (50,70]","sav (0,2]"
"good",10,"parents",36,52,"married","no_rec","fixed",60,150,0,0,550,612,89.8692810457516,5.89090909090909,"sen (8,14]","time (24,36]","age (50,99]","exp (50,60]","inc (140,190]","asset (-1,0]","debt (-1,0]","am (0,600]","priz (0,1e+03]","finr (80,90]","sav (4,6]"
"bad",1,"owner",36,29,"married","no_rec","fixed",60,70,4500,0,850,1100,77.2727272727273,0.423529411764706,"sen (-1,1]","time (24,36]","age (25,30]","exp (50,60]","inc (0,80]","asset (3e+03,5e+03]","debt (-1,0]","am (600,900]","priz (1e+03,1.3e+03]","finr (70,80]","sav (0,2]"
"good",11,"owner",60,39,"divorced","yes_rec","fixed",35,263,2500,0,1000,1300,76.9230769230769,13.68,"sen (8,14]","time (48,99]","age (30,40]","exp (0,40]","inc (190,1e+04]","asset (0,3e+03]","debt (-1,0]","am (900,1.1e+03]","priz (1e+03,1.3e+03]","finr (70,80]","sav (6,99]"
"good",10,"owner",60,38,"married","no_rec","freelance",75,200,9000,0,1000,2089,47.8697941598851,7.5,"sen (8,14]","time (48,99]","age (30,40]","exp (60,80]","inc (190,1e+04]","asset (8e+03,1e+06]","debt (-1,0]","am (900,1.1e+03]","priz (1.8e+03,1e+05]","finr (0,50]","sav (6,99]"
"good",5,"owner",24,24,"single","no_rec","fixed",35,78,6000,3000,500,2262,22.10433244916,0.624,"sen (3,8]","time (12,24]","age (0,25]","exp (0,40]","inc (0,80]","asset (5e+03,8e+03]","debt (2.5e+03,1e+06]","am (0,600]","priz (1.8e+03,1e+05]","finr (0,50]","sav (0,2]"
"good",10,"rent",60,28,"single","no_rec","fixed",47,120,0,0,600,1054,56.9259962049336,7.3,"sen (8,14]","time (48,99]","age (25,30]","exp (40,50]","inc (110,140]","asset (-1,0]","debt (-1,0]","am (0,600]","priz (1e+03,1.3e+03]","finr (50,70]","sav (6,99]"
"good",27,"owner",60,53,"married","no_rec","fixed",60,125,10000,0,1426,1426,100,2.73492286115007,"sen (14,99]","time (48,99]","age (50,99]","exp (50,60]","inc (110,140]","asset (8e+03,1e+06]","debt (-1,0]","am (1.4e+03,1e+05]","priz (1.3e+03,1.5e+03]","finr (90,100]","sav (2,4]"
